"프린터의 인자 속도","The printer's printing speed"
"다리를 꼭꼭 주물러라","Massage your legs thoroughly"
"언론과 출판의 자유","Freedom of the press and publication"
"이 물건 좀 그렇지?","This item is kind of so-so, isn't it?"
"200해리 경제 수역 설정","Establishment of a 200-nautical-mile exclusive economic zone"
"무허가 건물 철거","Demolition of unpermitted buildings"
"나이보다 숙성한 아이","A child more mature than their age"
"정부 산하 공기업","A state-run public enterprise under the government"
"학생에게 엄한 선생님","A strict teacher with students"
"유유히 흐르는 강물","A river flowing calmly"
"못다 한 이야기","An unfinished story"
"얼굴이 화끈하는 느낌","A hot, flushed feeling in the face"
"라면 한 젓가락만 먹을게","I'll just take one bite of the ramen"
"제발 살려 주세요","Please, save me"
"근육이 잘 발달한 선수","An athlete with well-developed muscles"
"3학년 5반 교실","The classroom of Grade 3, Class 5"
"쓸데없는 얘기는 집어치워라","Cut the pointless talk"
"계산이 맞는지를 검토해 보자","Let's check whether the calculations are correct"
"병색 어린 창백한 피부","Pale skin with a sickly hue"
"의정 활동 보고서","A report on legislative activities"
"이 바보 먹통아!","You idiot, you blockhead!"
"국제 수지 악화","A worsening international balance of payments"
"회색빛 시멘트 건물","A gray cement building"
"예술과 철학의 공통점","The common ground between art and philosophy"
"별이 무수히 반짝이는 밤하늘","A night sky where countless stars twinkle"
"선거철 철새 공방","Election-season sparring over political turncoats"
"느티나무 한 주","One zelkova tree"
"악명 높은 존재","A notorious figure"
"구름이 유연한 하늘","A sky with soft, flowing clouds"
"온화한 성품의 소유자","A person with a gentle temperament"
"그따위 말버릇을 어디서 배웠니?","Where did you pick up that kind of way of speaking?"
"솜을 도톰하게 두어 만든 이불","A quilt made with thick padding of cotton"
"부모 형제 없이 고단한 처지","A hard life without parents or siblings"
"아이들의 순진한 호기심","Children's innocent curiosity"
"한 수만 물러 주게","Give me a one-move handicap"
"얼굴형에 맞는 화장법","Makeup that suits your face shape"
"샘이 많은 동생","A younger sibling who gets jealous easily"
"삼 정보 미만의 농지","Farmland under three jeongbo"
"중학생을 위한 전 과목 학습지","All-subject study materials for middle schoolers"
"강경 노선 고수","Sticking to a hardline stance"
"김 후보를 국회로 보냅시다!","Let's send Candidate Kim to the National Assembly!"
"난국 타개의 숙제","The task of overcoming a national crisis"
"영양가가 많은 식품","Nutrient-rich food"
"폭력배가 날뛰는 거리","A street where thugs run rampant"
"차기 총장 후보자","A candidate for the next president"
"내 말을 즉각 시행하라","Carry out my orders immediately"
"금융 실명제 실시","Implementation of the real-name financial system"
"황금 같은 세월","Golden years"
"공화국의 창출 과정","The process of creating a republic"
"한우 선물 세트","A gift set of Korean beef"
"예술 창작 활동","Artistic creative activities"
"하염없이 흐르는 눈물","Tears flowing endlessly"
"방수와 방한이 잘되는 등산복","Hiking gear that is both waterproof and warm"
"성의 노골적 묘사","Explicit depictions of sex"
"미온적인 대처 방안","A lukewarm response plan"
"현대 미술의 아버지","The father of modern art"
"화성 탐사 로봇","A Mars exploration robot"
"나비야, 이리 온!","Butterfly, come here!"
"밥상은 게다 놓고 나가라","Set the table over there before you go out"
"민간인 대량 학살","Massacre of civilians"
"세상을 뒤흔든 어음 사기 사건","A promissory note fraud case that shook the nation"
"요사이 어떻게 지내니?","How have you been lately?"
"벅찬 감동을 주는 예술 작품","A work of art that moves you deeply"
"지난번에 한 부탁 잊지 마","Don't forget the favor I asked last time"
"수익률이 높은 상품","A product with a high rate of return"
"상민으로 전락한 양반의 자손","Descendants of a yangban who fell to commoner status"
"얼마간 시간의 여유를 주시오","Please give me a little time"
"급박한 상황 변화","An abrupt change in circumstances"
"기적적 경제 성장","Miraculous economic growth"
"눈보라가 치는 겨울 들판","A winter field in a snowstorm"
"난생처음으로 보고 들은 일","Something I saw and heard for the first time in my life"
"한국어 말하기 대회","A Korean speech contest"
"회의 중 외인 출입 금지","No outsiders allowed during the meeting"
"우상을 섬기지 마라","Do not worship idols"
"마포로 짠 수의","A shroud woven from hemp"
"농도 짙은 액체","A highly concentrated liquid"
"기묘하게 생긴 바위","A strangely shaped rock"
"신약 개발 본격화","Full-scale development of new drugs"
"교류를 직류로 변환하는 어댑터","An adapter that converts AC to DC"
"다중 전송 기술","Multi-channel transmission technology"
"다이아몬드가 박힌 결혼반지","A wedding ring set with diamonds"
"벽에 달린 액자","A picture frame hanging on the wall"
"1차 진료 기관","A primary care clinic"
"혈압이 낮은 사람","A person with low blood pressure"
"내가 이럴 줄 알았다니까","I knew it would turn out like this"
"거품을 뺀 가격","A price with the fluff stripped out"
"소란을 피우지 마라","Don't make a commotion"
"창 안을 들여다보는 게 누구야!","Who's peeking in through the window!"
"책상 대용의 밥상","A table used in place of a desk"
"윤곽이 뚜렷한 얼굴","A face with sharp features"
"우승에는 턱없는 실력","Nowhere near good enough to win"
"냉전 시대의 종결","The end of the Cold War era"
"탈세 의혹 은폐","Cover-up of tax evasion allegations"
"이 나라를 짊어지고 나갈 일꾼","Workers who will carry this country forward"
"모래가 깔린 씨름 경기장","A ssireum arena covered with sand"
"해결 방안의 모색","Seeking a solution"
"땀 흘려 지은 농작","Crops grown with hard work and sweat"
"원작에 충실한 번역","A translation faithful to the original"
"하늘 높이 회상하는 매","A falcon soaring high in the sky"
"돈이 좀 모였어?","Have you saved up some money?"
"애인이 있어야 결혼을 하지요","You need a lover to get married"
"내 말 알아듣겠니?","Do you understand what I'm saying?"
"볼을 대서 기운 양말","Socks mended by patching the heel"
"국가의 근간 사업","A foundational project of the state"
"음성 감지가 가능한 컴퓨터","A computer capable of voice detection"
"같은 리듬의 반복","Repetition of the same rhythm"
"심혈을 기울여 만든 작품","A work made with great care and devotion"
"인체의 거부 반응","The body's rejection response"
"이것이 정녕 꿈은 아니겠지요?","This isn't really a dream, is it?"
"여신 관리 규정","Regulations for managing debt"
"집에 누구누구 있지?","Who all is at home?"
"으흠! 어른을 몰라보다니","Ahem! How dare you not recognize your elders"
"꼬리를 길게 늘어뜨린 연","A kite with a long trailing tail"
"자금 100년 전","A century ago"
"예술가적 기질을 타고난 작가","A writer born with an artistic temperament"
"위대한 자연의 힘","The great power of nature"
"산업 혁명 이전","Before the Industrial Revolution"
"5만 명에 육박하는 관중들","Spectators numbering close to 50,000"
"높은 벼슬과 후한 봉록","A high office and a generous stipend"
"불의에 찾아온 재난","A disaster brought on by injustice"
"공장의 생산 실적","The factory's production results"
"고대 국가의 출현","The emergence of ancient states"
"입씨름 좀 그만둬라","Stop bickering"
"아무 염려 마십시오","Please don't worry at all"
"연필 다섯 자루","Five pencils"
"여유 있는 태도","A relaxed attitude"
"왕골로 엮인 돗자리","A straw mat woven from rush"
"우주의 생성과 소멸","The birth and death of the universe"
"남북 관계의 먹구름","Dark clouds over inter-Korean relations"
"부모님 집에서 업어 온 에어컨","An air conditioner I carried over from my parents' house"
"아가! 이리 온","Baby! Come here"
"밉지도 곱지도 않은 얼굴","A face that's neither likable nor unlikable"
"아침에 까치가 와서 짖었어","A magpie came and chattered this morning"
"기술자를 양성하는 학원","An institute that trains technicians"
"이웃과 더불어 사는 세상","A world where we live together with our neighbors"
"호수에 비친 달의 그림자","The moon's reflection on the lake"
"계층 간의 갈등","Conflict between social classes"
"내 당대에 모은 재산","Wealth I amassed in my lifetime"
"초반 주식 시장","The early stock market"
"회담의 진행 상황","The progress of the talks"
"면회를 접수하는 간수","A guard who registers visits"
"굉장히 빠른 속도","An extremely fast speed"
"인수 분해 공식","A factorization formula"
"아파트 청약 신청","Applying for an apartment subscription"
