"00001","현세의 당면 과제","the pressing tasks of the present age"
"00002","가짜 속눈썹을 붙여","I put on false eyelashes."
"00003","최상위 등급을 받아","I get the top grade."
"00006","잡지에 글이 실려","An article is published in a magazine."
"00007","총탄이 가슴을 관통했어","The bullet pierced the chest."
"00008","컴퓨터 프로그램 내장 방식","the method of embedding a computer program"
"00009","심판의 판정에 따라","I follow the referee's decision."
"00010","개회식 당일에는 복잡해","It's crowded on the opening day."
"00011","바다에서 수영을 즐겨요","I enjoy swimming in the sea."
"00012","새해 첫날이 밝았어요","The first day of the new year dawned."
"00013","어저께부터 계속 비가 내려요","It's been raining continuously since yesterday."
"00015","밭에 비료를 뿌렸어요","I spread fertilizer on the field."
"00016","연합 팀을 구성했어요","I formed a joint team."
"00017","그 사람은 매일 그 타령이었어","That person went on about the same thing every day."
"00018","논에 물을 가득 실어요","I fill the rice paddies with water."
"00019","신발을 신발장에 넣어","I put the shoes in the shoe cabinet."
"00020","키 크다고 뽐내지 마라","Don't brag about being tall"
"00021","허벅다리에 관통상을 입었어요","I suffered a penetrating wound in the thigh."
"00022","성공적 임무 수행","successful mission completion"
"00023","톡톡히 망신을 줘요","I really embarrass them."
"00024","기관이 수증기를 내뿜어요","The engine emits steam."
"00025","봄이라서 그런지 몸이 나른했어","Maybe because it's spring, my body felt sluggish."
"00026","그녀는 아직 남자가 없어","She still doesn't have a boyfriend."
"00028","인간의 잠재 가능성","human potential possibilities"
"00029","신제품 개발 전략은 대성공이었습니다","The new product development strategy was a huge success."
"00030","도서관에서 책을 도둑맞았습니다","I had a book stolen at the library."
"00031","자금 100년 전","funds from 100 years ago"
"00032","보지 않아도 훤해","It's obvious even without seeing it."
"00033","뽀얗게 성에가 꼈어","Frost formed thickly."
"00034","어류의 습성과 생태를 연구했어요","I studied the habits and ecology of fish."
"00035","기관의 감시를 받아요","I am under the agency's surveillance."
"00036","익살스러운 표정을 지어요","I make a playful expression."
"00037","따끈하게 데운 국","soup warmed up piping hot"
"00038","네 귀퉁이가 다 닳은 책","a book with all four corners worn out"
"00039","친구의 처지를 대언해","I speak on behalf of my friend's situation."
"00040","화려하고 고운 색깔","splendid and pretty colors"
"00041","지난날들이 새삼 그리웠어","I missed the old days anew."
"00042","자정을 알리는 종소리가 들려요","I hear the bell announcing midnight."
"00043","그녀는 건강한 여아를 분만해","She delivers a healthy baby girl."
"00044","지난번과 달리 말했습니다","I spoke differently from last time."
"00045","먼 길로 돌아왔어요","I came back by a long way."
"00046","머리에 댕기를 드려","I tie a hair ribbon on the head."
"00047","목표 설정이 잘못됐어요","The goal setting was wrong."
"00048","입안에 군침이 고여","My mouth waters."
"00049","죄인을 하방에 귀양 보내요","I exile the criminal to the provinces."
"00051","높디높은 가을 하늘","the very high autumn sky"
"00052","사회 정의가 구현됐어","Social justice was realized."
"00053","지휘 계통의 단일화","unification of the command chain"
"00054","권좌에서 왕을 끌어내렸어","They pulled the king down from the throne."
"00055","얼굴에 웃음을 띠었습니다","I wore a smile on my face."
"00056","혼란은 무제한으로 계속됩니다","The chaos continues without limit."
"00057","방이 곳곳에 나붙어요","Posters are plastered everywhere."
"00058","고전 소설의 대표작","a representative work of classic fiction"
"00060","영문도 모르고 덩달아서 웃어","I laugh along without knowing why."
"00061","마당에 팬 구덩이","a pit dug in the yard"
"00063","차를 천천히 몰아요","I drive the car slowly."
"00064","산에서 마을로 내려왔어요","I came down from the mountain to the village."
"00066","외국으로 이민 가","I move abroad."
"00067","우리의 영역을 침범한 적","an enemy who invaded our territory"
"00068","도둑이 담을 뛰어넘습니다","The thief jumps over the wall."
"00069","달걀의 흰자와 노른자","the white and yolk of an egg"
"00070","변호사에게서 사례금을 돌려받아","I get the fee back from the lawyer."
"00071","구름이 걷히고 볕이 쨍 났어요","The clouds cleared and the sun blazed."
"00072","대학생 동아리 연합","a federation of university clubs"
"00073","그는 밑으로 여동생이 둘 있어","He has two younger sisters."
"00074","복권이 1등에 당첨되었습니다","The lottery ticket won first prize."
"00075","계절의 여왕 오월","May, the queen of seasons"
"00076","그들은 시선이 마주 닿아","Their eyes meet."
"00078","성리학을 대체한 서구 사상","Western thought that replaced Neo-Confucianism"
"00079","부동산 가격의 급락","a sharp drop in real estate prices"
"00080","실패는 성공의 어머니입니다","Failure is the mother of success."
"00081","태양초로 빻은 고춧가루","chili powder ground from sun-dried peppers"
"00082","정신을 바싹 차려요","I stay alert."
"00083","식구들이 모여 식사해","The family gathers to eat."
"00084","전치 5주의 상해를 가했습니다","I inflicted injuries requiring five weeks of treatment."
"00087","국이 식어 미지근했어","The soup cooled down and was lukewarm."
"00088","전쟁이 남긴 상처는 가혹했어요","The wounds left by the war were harsh."
"00089","힘없고 가난한 자","the weak and the poor"
"00090","한계 생산의 체감","diminishing marginal product"
"00091","사건 해결의 주역들","the key figures in solving the case"
"00093","출퇴근하기에는 지하철이 편리해","The subway is convenient for commuting."
"00094","살며시 눈을 감습니다","I gently close my eyes."
"00095","오늘이 무슨 요일이냐?","What day is it today?"
"00096","나는 그 손님이 무척 반가웠어요","I was very glad to see that guest."
"00097","관계 당국의 발표","an announcement by the relevant authorities"
"00098","로마 제국의 멸망","the fall of the Roman Empire"
"00099","그는 몸놀림이 재빠랐어","His movements were quick."
"00100","추론은 사실에 근거해야 했습니다","Inference had to be based on facts."
"00102","정성이 담긴 선물","a heartfelt gift"
"00103","막판에 고비를 잘 넘겨 다행이야","I'm glad I got over the last hurdle."
"00104","미결수들을 구치소에 수감해","I detain the pretrial detainees in the detention center."
"00105","초과 근무 수당을 지급했어","I paid overtime pay."
"00106","이 소설은 문체가 직설적이야","This novel's style is straightforward."
"00107","부족분을 추가로 공급해요","I supply the shortfall additionally."
"00109","그의 말은 위력이 있었습니다","His words had power."
"00110","정계의 실력가를 만나","I meet a power figure in politics."
"00111","국회 소장파 의원","a reformist lawmaker in the National Assembly"
"00113","남의 말을 가로채면 안 됐어요","It wasn't okay to cut someone off."
"00114","방위 감각이 무뎠어요","My sense of direction was dull."
"00115","정부가 재정을 지원해","The government provides financial support."
"00116","조종 방법을 배워","I learn how to operate it."
"00118","흠칫 몸이 움츠러들었어요","I flinched and shrank back."
"00119","일을 빨리 끝냈어","I finished the work quickly."
"00121","그는 슬하에 아들 형제만 둬요","He has only sons."
"00122","경악을 금치 못해","I can't hide my astonishment."
"00124","귀금속을 장롱 속에 간직해요","I keep the jewelry in the wardrobe."
"00125","달걀의 노른자는 영양이 풍부했어요","Egg yolks were nutritious."
"00126","천지를 뒤흔드는 굉음","a thunderous roar that shakes heaven and earth"
"00127","깃발이 바람에 날렸어요","The flag fluttered in the wind."
"00129","귀마개를 했더니 귀가 덜 시려요","After putting on earmuffs, my ears feel less cold."
