무책임한 보도 난무,Irresponsible reporting is rampant.
성장기가 짧은 식물,A plant with a short growing season.
비싼 곡식을 팔아먹어요,I sell off the expensive grain
목표 생산량 돌파,Surpassing the target output.
숯불에서 튀는 불똥,Sparks flying from a charcoal fire.
죽음의 경계선을 넘어,I cross the boundary of death
당국에 수사를 요청해,I request an investigation from the authorities
이 판국에 헛소리하게 생겼는가,At a time like this do you think we can spout nonsense?
실업 문제의 해소,Resolution of the unemployment problem.
다리에 하자가 너무 많았어,There were too many defects in the bridge
거액의 계약금을 받았어요,I received a large contract deposit
가정에 대한 남편의 무관심,The husband's indifference to the family.
앞날이 뻔히 보였어,The future was plainly visible
내년 여름부터 사업에 착수했어,I began the business starting the following summer
손톱으로 얼굴을 할퀴어요,I scratch the face with my fingernails
누군가 그를 떠다밀어,Someone pushes him away
음악에 조예가 깊어,I am well-versed in music
평화적 정권 이양,Peaceful transfer of power.
껍질이 얇고 바삭한 옛날 통닭,Old-style whole chicken with thin crispy skin.
현대 미술의 아버지,The father of modern art.
너 아침 먹었니?,Did you eat breakfast?
낯선 지방으로 여행합니다,I travel to an unfamiliar region
난로가 벌겋게 달아올라,The stove glows red hot
가래에 피가 비쳤어요,There was blood in the phlegm
예상이 그대로 들어맞아,The prediction matches exactly
공터 부근을 배회합니다,I wander around the vacant lot
닭을 우리 속에 집어넣어요,I put the chicken into the pen
지목을 받쳐 놓았습니다,I propped up the land designation
나도 너만치 먹었어요,I ate as much as you did
나도 여력이 있어야 자네를 돕지,I need to have some leeway to help you too.
그때 일은 똑똑히 기억했어요,I remembered that event clearly
인체의 거부 반응,The body's rejection response.
소홀히 보아 넘겨요,I carelessly overlook it
세수를 깨끗이 했어,I washed my face clean
날씨가 무지 춥습니다,The weather is extremely cold
그녀는 친정에 기류를 부탁했어,She asked her parents' household to read the situation
간신히 여명을 부지합니다,I barely make it to dawn
돼지띠면 나랑 동갑이네,If you're a Pig year we're the same age.
제각기 한마디씩 했어,Each of them said a word
증기 기관차의 몸체,The body of a steam locomotive.
문 앞에서 손님을 맞이합니다,I greet guests at the door
횃불을 밝혀 들었습니다,I lit a torch and held it up
남의 탓으로 돌려,I blame it on others
나는 등이 간지러워 긁고 싶어,My back is itchy and I want to scratch
반찬을 냉장고에 넣어 두었습니다,I put the side dishes in the refrigerator
대법원에서 형을 확정했어,The Supreme Court confirmed the sentence
사고가 날까 두려워요,I'm afraid there will be an accident
경제적 안정을 되찾아요,I regain economic stability
연장자에게 우선순위를 주었습니다,I gave priority to the elders
그의 앞길은 탄탄해요,His future is solid
침을 꿀꺽 삼켰어요,I swallowed my saliva
알로록달로록 예쁜 치마,A pretty colorful skirt.
설날 아침에 떡국을 끓였어요,I cooked tteokguk on New Year's morning
저는 밥 한 그릇으로 충분해요,A bowl of rice is enough for me
여태 그것밖에 못 했니?,Is that all you could do so far?
차체는 멀쩡해도 엔진이 엉망입니다,The body is fine but the engine is a mess
과일로 술을 빚습니다,We brew alcohol with fruit.
새삼스러운 느낌이 들었어요,I felt a renewed sense.
국가의 주체는 국민이에요,The people are the sovereign of the nation.
그들은 소신대로 일했습니다,They worked according to their convictions.
미분양 물량이 늘어났어요,The volume of unsold units increased.
대문이 삐거덕거리며 열려,The front gate creaks open.
정치적 의도가 깔려 있어요,There is a political motive behind it.
