강자가 약자를 괴롭혔어요,The strong bullied the weak
실패에 실을 감았어,I wound thread onto a spool
안전벨트 착용의 의무화,mandatory seat belt use
멀리 바다가 뵈는 집,a house with the sea visible in the distance
덩치가 우람한 사내,a burly man
이마에 손을 얹어,I place my hand on my forehead
신문의 하단에다 광고를 실었어,I placed an ad at the bottom of the newspaper
회복 불능인 상태,an irrecoverable state
구청에 민원을 내,I file a complaint with the district office
바다가 막막하게 펼쳐져 있었어,The sea stretched out endlessly
운세가 크게 떨쳐요,Good fortune flourishes greatly
남의 돈을 넘봤어요,I coveted someone else's money
어머니의 은혜에 보답합니다,I repay my mother's kindness
장래가 유망한 청년,a promising young man
담벼락에 포스터를 붙여,I put up a poster on the wall
새 길이 널찍하게 뚫려,A new road opens up wide
고전적 수업 방식,a classical teaching method
앞으로 무슨 일을 할 작정인가?,What do you plan to do from now on?
그의 의견에 찬성합니다,I agree with his opinion
아차 깜박 잊었네,Oh I completely forgot.
하반기 결산 보고,second-half financial report
위험한 시점에 도달했어,I reached a dangerous point
선생님 말씀에 순종해,I obey the teacher's words
남쪽 방면으로 여행했습니다,I traveled toward the south
사건의 이송을 받았어요,I received the transfer of the case
이 길은 고속 도로와 이어졌어,This road connected to the highway
원활한 사회 적응,smooth social adaptation
그의 직책은 명목뿐인 이사였어,His position was only a nominal directorship
부채를 쫙쫙 폈어요,I spread the fan wide
뺨을 찰싹 갈겨요,I slap the cheek
적병들이 우리를 쫓아와요,Enemy soldiers are chasing us
마음을 굳게 다잡아요,I steel my mind
활동에 불편리한 복장,clothes inconvenient for activity
과일 상자를 깔고 앉았습니다,I sat on a fruit box
친구에게 수영을 배웠어,I learned swimming from a friend
제품의 장단점을 조사했어,I investigated the product's pros and cons
음흉한 미소를 지어,I wear a sly smile
급박한 상황 변화,a sudden urgent change in the situation
대장장이가 농기구를 만들어,The blacksmith makes farm tools
그는 익은 떡이었습니다,He was a sure thing
차원이 낮은 영화,a low-brow movie
다른 사람의 꿈을 비웃지 마,Don't mock other people's dreams.
우리별 1호 발사,Launch of Our Star 1
친구를 자기 동아리에 끌어들여요,I draw my friend into my club
이 동네는 교통이 편리했습니다,Transportation in this neighborhood was convenient
하늘의 조화가 절묘했어,The harmony of the sky was exquisite
자유주의 헌법 정신,the liberal spirit of the constitution
낚싯밥에 걸려든 붕어,a crucian carp caught by bait
뽀얗게 흙먼지가 일어,A pale dust cloud rises
친구와 역 앞 다방에서 만났어,I met a friend at the cafe in front of the station
문제의 본질을 포착했어,I grasped the essence of the problem
집안에 걱정이 사라져요,Worries at home disappear
냉혹한 현실에 부딪혀,I run into harsh reality
그들은 무척 가난했어요,They were very poor
가까스로 웃음을 참았어,I barely held back my laughter
수사 기관의 검증,verification by investigative authorities
눈부신 활약을 해,I put on a dazzling performance
할머니는 편안하게 임종을 하고 계세요,Grandmother is passing away peacefully
그쪽 일은 어떻게 됐습니까?,How did that matter on your end turn out?
책을 또박또박 읽어,I read the book clearly
김장독을 비닐로 둘러쌌어요,I wrapped the kimchi jar with plastic
관련 책임자의 사퇴를 요구합니다,We demand the resignation of the responsible person
농담으로 하는 말,something said as a joke
그는 휴일 아침마다 늦잠을 잤어요,He slept in late every holiday morning
당정을 면밀히 살피고 있어,I'm closely examining the ruling party and the government
온건파와 개혁파의 충돌,a clash between moderates and reformists
돌무더기가 와르르 무너져요,The pile of rocks collapses with a crash
질문에 합당한 답변,an answer appropriate to the question
왕복으로 세 시간 걸리는 거리,a distance that takes three hours round trip
양파를 밭에 심었습니다,I planted onions in the field
