현세의 당면 과제,the pressing tasks of the present age
가짜 속눈썹을 붙여,I put on false eyelashes.
최상위 등급을 받아,I get the top grade.
잡지에 글이 실려,An article is published in a magazine.
총탄이 가슴을 관통했어,The bullet pierced the chest.
심판의 판정에 따라,I follow the referee's decision.
개회식 당일에는 복잡해,It's crowded on the opening day.
바다에서 수영을 즐겨요,I enjoy swimming in the sea.
새해 첫날이 밝았어요,The first day of the new year dawned.
밭에 비료를 뿌렸어요,I spread fertilizer on the field.
연합 팀을 구성했어요,I formed a joint team.
논에 물을 가득 실어요,I fill the rice paddies with water.
신발을 신발장에 넣어,I put the shoes in the shoe cabinet.
키 크다고 뽐내지 마라,Don't brag about being tall
성공적 임무 수행,successful mission completion
톡톡히 망신을 줘요,I really embarrass them.
인간의 잠재 가능성,human potential possibilities
자금 100년 전,funds from 100 years ago
보지 않아도 훤해,It's obvious even without seeing it.
뽀얗게 성에가 꼈어,Frost formed thickly.
기관의 감시를 받아요,I am under the agency's surveillance.
따끈하게 데운 국,soup warmed up piping hot
친구의 처지를 대언해,I speak on behalf of my friend's situation.
화려하고 고운 색깔,splendid and pretty colors
먼 길로 돌아왔어요,I came back by a long way.
머리에 댕기를 드려,I tie a hair ribbon on the head.
목표 설정이 잘못됐어요,The goal setting was wrong.
입안에 군침이 고여,My mouth waters.
높디높은 가을 하늘,the very high autumn sky
사회 정의가 구현됐어,Social justice was realized.
지휘 계통의 단일화,unification of the command chain
방이 곳곳에 나붙어요,Posters are plastered everywhere.
고전 소설의 대표작,a representative work of classic fiction
마당에 팬 구덩이,a pit dug in the yard
차를 천천히 몰아요,I drive the car slowly.
외국으로 이민 가,I move abroad.
달걀의 흰자와 노른자,the white and yolk of an egg
대학생 동아리 연합,a federation of university clubs
계절의 여왕 오월,May the queen of seasons
부동산 가격의 급락,a sharp drop in real estate prices
태양초로 빻은 고춧가루,chili powder ground from sun-dried peppers
정신을 바싹 차려요,I stay alert.
식구들이 모여 식사해,The family gathers to eat.
국이 식어 미지근했어,The soup cooled down and was lukewarm.
힘없고 가난한 자,the weak and the poor
한계 생산의 체감,diminishing marginal product
사건 해결의 주역들,the key figures in solving the case
살며시 눈을 감습니다,I gently close my eyes.
오늘이 무슨 요일이냐?,What day is it today?
관계 당국의 발표,an announcement by the relevant authorities
로마 제국의 멸망,the fall of the Roman Empire
그는 몸놀림이 재빠랐어,His movements were quick.
정성이 담긴 선물,a heartfelt gift
정계의 실력가를 만나,I meet a power figure in politics.
국회 소장파 의원,a reformist lawmaker in the National Assembly
방위 감각이 무뎠어요,My sense of direction was dull.
정부가 재정을 지원해,The government provides financial support.
조종 방법을 배워,I learn how to operate it.
일을 빨리 끝냈어,I finished the work quickly.
경악을 금치 못해,I can't hide my astonishment.
천지를 뒤흔드는 굉음,a thunderous roar that shakes heaven and earth
깃발이 바람에 날렸어요,The flag fluttered in the wind.
너그러운 물 흐름,a gentle flow of water
악랄한 수단을 썼어요,I used vicious means.
광역 단체장 선거,a metropolitan government head election
말에 박차를 가해,I spur the horse.
여러분! 이걸 보십시오,Everyone! Look at this
유행에 뒤진 옷차림,out-of-fashion attire
부적을 써 붙였어요,I wrote out and posted a talisman.
길섶에 핀 코스모스,cosmos flowers blooming by the roadside
상황이 절박하게 변해,The situation becomes dire.
밥풀로 편지를 봉했어,I sealed the letter with rice paste.
자동차 등록 사업소,vehicle registration office
신경통에 천식이 겹쳐요,Asthma overlaps with my neuralgia.
용도에 따라 구분해,I classify it according to use.
중동에서 말을 끊어,I cut off my speech in the Middle East.
살림 도구를 장만했어요,I prepared household tools.
짐을 꾸러미로 묶어요,I bundle the luggage.
다수 의석을 차지해요,We take the majority of the seats.
두 남녀의 애틋한 사랑,a tender love between a man and a woman
빛이 창에 반영됩니다,Light is reflected in the window.
술집에서 양주를 시켜,I order liquor at the bar.
눈이 비로 변해요,Snow turns into rain.
당파 싸움의 제물이 돼,I become a victim of factional strife.
일행의 뒤쪽에 섰어,I stood at the back of the group.
커다랗게 불거진 소문,a rumor that has ballooned
검찰에 고발을 당했어요,I was reported to the prosecution.
인쇄 기술의 발달,the development of printing technology
기소 여부를 결정했어,I decided whether to indict.
야유가 터져 나왔어요,Boos erupted.
경솔한 짓을 합니다,I do a reckless thing.
나는 전쟁을 혐오해요,I loathe war.
안개가 자옥한 숲속,a forest thick with fog
소설을 신문에 연재했어,I serialized the novel in the newspaper.
덜걱 문이 닫혀요,The door slams shut.
한순간에 물거품이 돼요,It turns into nothing in an instant.
얼굴에 미소를 떠올려,I bring a smile to my face.
흥분된 마음을 달랬어,I calmed my excited feelings.
증기 기관의 발명,the invention of the steam engine
안 벌고 안 써,I don't earn and I don't spend.
근린 관계를 유지합니다,We maintain neighborhood relations.
술 좀 작작 마셔라,Cut down on the drinking
깻잎을 간장에 쪘어요,I steamed perilla leaves in soy sauce.
국토 수호에 헌신해요,I devote myself to defending the country.
민간 항공기 피격 사건,the shooting down of a civilian aircraft
숨이 막 떨어져요,My breath is running out.
범인 취급을 당했습니다,I was treated like a criminal.
한숨을 팍팍 쉬었습니다,I let out heavy sighs.
사원증 목걸이 줄,an ID card lanyard
자정이 지난 시간,a time past midnight
파리 주재 특파원,a correspondent stationed in Paris
흡족한 미소를 띠었어,I wore a satisfied smile.
종이를 절반으로 접어요,I fold the paper in half.
시간을 지체하지 마라,Don't waste time
3학년 5반 교실,the classroom of Year 3 Class 5
시어머니와 며느리 사이,between a mother-in-law and daughter-in-law
옳고 그름을 판단했어요,I judged right and wrong.
언론과 출판의 자유,freedom of the press and publication
마음이 비단 같았어,My heart was like silk.
어린이는 나라의 보배,Children are the nation's treasure
드문드문 찾아드는 손님,occasional guests
돈만 있으면 제일이냐?,Is money all that matters?
연설문의 초안을 작성해,I draft the speech.
대문에 파랗게 색칠해,I paint the front gate blue.
아파트 청약 신청,apartment subscription application
할머니 품속에 안겼어요,I nestled into grandma's arms.
자극적인 가스 냄새,a pungent gas smell
동메달을 목에 걸어요,I hang a bronze medal around my neck.
회의의 의장을 선출했어,We elected the chair of the meeting.
고층의 대기 현상,a high-altitude atmospheric phenomenon
본부에 상황을 알렸어요,I informed headquarters of the situation.
젊은 시절의 방황,the wandering of one's youth
야성미가 풍기는 몸짓,gestures that exude wild charm
고뇌 속에서 보낸 세월,years spent in anguish
말과 행동의 배치,a discrepancy between words and actions
음산한 초겨울 날씨,gloomy early-winter weather
공부를 일과 병행했어요,I studied while working.
역모가 탄로 나,The treason plot is exposed.
진작 말할 것이지,You should have said so earlier
신용 카드 사용자,credit card user
고구마가 덜 익어요,The sweet potatoes are undercooked.
고장 난 차를 방치해요,I leave the broken car unattended.
까치가 깍깍 짖습니다,A magpie caws 'kak-kak.'
벽에 쾅 부딪쳐,I slam into the wall.
무전기 주파수를 맞춰,I tune the radio frequency.
물줄기를 따라 내려갔어,I went down along the stream.
밤새워 편지를 써,I write letters all night.
무역 협정이 발효됐어,The trade agreement took effect.
보석을 몸에 지녀요,I wear jewelry on me.
주머니가 툭 터져,The pocket bursts open.
반짝반짝 빛나는 눈,sparkling eyes
대학 입시 요강 확정,finalization of college admissions guidelines
제작진이 섭외한 장소,the location secured by the production crew
돈 만 냥을 꿨어요,I borrowed ten thousand nyang.
어둠이 깃든 방 안,a room shrouded in darkness
사건의 추이를 살펴,I watch the course of the case.
제자를 여럿 두었습니다,I had many disciples.
복잡하게 얽힌 이해관계,complicated intertwined interests
산에 나무가 울창해,The mountain is thick with trees.
선교사의 전교 활동,a missionary's evangelizing work
묵을 맛있게 무쳤구나,You seasoned the acorn jelly deliciously
이마에 땀이 맺혔어,Sweat formed on my forehead.
